Course Name,Platform,Category,Level,Duration,Link,Description
Google Digital Marketing,Google,Marketing,Beginner,40 hrs,https://learndigital.withgoogle.com,Learn SEO and digital marketing basics
Meta Social Media Marketing,Meta,Marketing,Beginner,20 hrs,https://www.facebook.com/business/learn,Learn Facebook and Instagram marketing
HubSpot Content Marketing,HubSpot,Marketing,Beginner,15 hrs,https://academy.hubspot.com,Learn content strategy and blogging
Google Analytics Course,Google,Analytics,Beginner,10 hrs,https://analytics.google.com,Learn website analytics
Fundamentals of Digital Marketing,Google,Marketing,Beginner,40 hrs,https://learndigital.withgoogle.com/digitalgarage,Comprehensive digital marketing certification by Google
SEO Training Course,HubSpot,Marketing,Beginner,3 hrs,https://academy.hubspot.com/courses/seo-training,Learn SEO fundamentals and optimization techniques
Email Marketing Certification,HubSpot,Marketing,Beginner,4 hrs,https://academy.hubspot.com/courses/email-marketing,Learn email campaigns and automation
Social Media Certification,HubSpot,Marketing,Beginner,5 hrs,https://academy.hubspot.com/courses/social-media,Learn social media strategy and engagement
Content Marketing Certification,HubSpot,Marketing,Beginner,6 hrs,https://academy.hubspot.com/courses/content-marketing,Deep dive into content strategy and storytelling
Google Ads Search Certification,Google,Advertising,Intermediate,4 hrs,https://skillshop.withgoogle.com,Learn Google Ads search campaigns
Google Ads Display Certification,Google,Advertising,Intermediate,3 hrs,https://skillshop.withgoogle.com,Learn display advertising basics
YouTube Marketing Course,Google,Marketing,Beginner,2 hrs,https://creatoracademy.youtube.com,Learn video marketing and YouTube growth
LinkedIn Marketing Labs,LinkedIn,Marketing,Beginner,2 hrs,https://www.linkedin.com/learning,Learn LinkedIn ads and B2B marketing basics
Digital Marketing Basics,Great Learning,Marketing,Beginner,2 hrs,https://www.mygreatlearning.com,Intro to digital marketing concepts
Introduction to Data Analytics,IBM (Coursera),Analytics,Beginner,10 hrs,https://www.coursera.org,Learn basics of data analysis (free to audit)
Marketing Analytics,University of Virginia (Coursera),Analytics,Beginner,12 hrs,https://www.coursera.org,Learn marketing data and decision making
Introduction to AI in Marketing,Great Learning,Marketing,Beginner,2 hrs,https://www.mygreatlearning.com,Understand AI applications in marketing
Canva Design School,Canva,Design,Beginner,3 hrs,https://www.canva.com/learn,Learn design basics for marketing creatives
Copywriting Basics,Alison,Marketing,Beginner,3 hrs,https://alison.com,Learn persuasive writing and ad copy skills
Diploma in E-Business,Alison,Marketing,Beginner,10 hrs,https://alison.com,Learn e-commerce and online business fundamentals
Digital Skills: Social Media,FutureLearn,Marketing,Beginner,4 hrs,https://www.futurelearn.com,Learn social media management basics
Brand Management,Coursera,Marketing,Beginner,8 hrs,https://www.coursera.org,Learn brand positioning and strategy fundamentals
Marketing Funnel Course,Semrush,Marketing,Beginner,3 hrs,https://www.semrush.com/academy,Learn conversion funnels and traffic generation
SEO Fundamentals,Semrush,Marketing,Beginner,4 hrs,https://www.semrush.com/academy,Learn keyword research and SEO techniques
